对话ID,文字
number,String
ID,Content
1,强大的精灵，弱小的精灵，那只是人的一己之见。
2,你知道什么才是最重要的呢。
3,像以往那样前进吧，冠军在等你啊。
4,无论何时都可以，我会一直等下去！
5,不管什么时候，能够改变世界的人都是一心追逐梦想的人
6,海洋是眼泪汇集成的吗?
7,我的面庞倒映在水面上，是充满了希望的笑脸。你的面庞是怎样的？
8,快乐的时候是两倍，悲伤的时候是一半，那就是和精灵在一起的意义...
9,决定就是你了！
10,想打败我还得过一万光年
11,交换来的精灵的名字是改不掉的，因为那里寄托了主人的思念啊！
12,选精灵就和搭公车一样，晚一秒都是可以改变人生的。
13,我知道你，你就是那个把精灵往死里使唤的训练师！
14,"回忆是珍珠,友情是钻石。"
15,神奇的小精灵，是属于我的啦。
16,当世界快要灭亡的时候，海之神就会出现。这是古老的预言。
17,就算是笨手笨脚又迟钝，只要步步脚踏实地的前进，终究可以实现梦想。
18,当一个生命与另一个生命相遇的时候，会孕育出什么呢。
19,真司和小智 他们总有一天 会在冠军联盟上胜出的
20,杰尼杰尼. 卡咪卡咪. 杰尼杰尼杰尼.. 卡咪卡咪卡咪.
21,我的队伍，一定要……又聪明，又强壮，又可爱，又帅气。还要……美丽。.
22,你觉得大哥哥这个人怎么样？
23,嗯～～不好说。虽然比绿的好点，但看起来长大也不会太美丽。
24,有没有战斗力，和愿不愿意积极的使用它，是两个问题。
25,啊，谢谢你的夸奖。
26,唔，你的态度很大方，一点都不胆怯。我越看你，越不像是等闲人物。
27,让我看看你的精灵吧
28,你是我见过最美丽的小姐
29,好讨厌的感觉!
30,就是这样，喵!
31,我是喵喵的喵喵
32,是新品种的精灵吗?
33,别误会，这不是给你的……
34,这城市看来并没有什么特别……咦?
35,哇!好英俊呀!你好!要不要跟我聊聊天啊?
36,这个障碍……是超能力系精灵发出的!
37,刚才看出来了吗，柯波郎的运动轨迹?
38,挑战书?有意思!
39,真可惜，你的运气不好……
40,其实他表演的招数水平也很高。
41,万一他输急了，突然袭击我们……
42,那样的人输了之后，不知道会做出什么样的事来……
43,我也一直都很喜欢你，从小时候到现在，一直都是。
44,恩-啊-感受到温暖的力量终于进化……
45,别人的东西是我的，我的东西还是我的!
46,我明白了，一定是沙子进眼睛了。
47,为什么这么厉害？
48,你陪在身边 我很感谢
49,她陪在身边 我很高兴
50,可恶!罚钱啦罚钱!限你在十秒内把钱付清，10、9、8......
51,"""是的，只要998，就能让你爽到不能呼吸哟。"""
52,我可以闻到你身上的死亡气息。
53,你的预测并不怎么准嘛！
54,风之化身听候您的差遣。
55,风呀，带我一程吧！
56,没错，我知道我让你无法呼吸。
57,俺好像看见了……更绿的牧场……
58,俺很生气，后果很严重！
59,战士的最高境界，就是不拿盾牌也能够开盾墙！
60,没有什么可以击退我！
61,生与死，轮回不止。我们生，而他们死。
62,你们的灵魂将会被女神称量。
63,你的遗体将慢慢消散，化为永恒，就像沙漠中的沙砾那样。
64,我们这是要去哪？
65,我们去找点儿朋友吧！
66,真可怜，让我抱抱你……
67,你也要来玩儿么？很好玩的哟！
68,那个……你看见过我的小熊吗？
69,你们好犀利，败给小萝莉，羞羞脸
70,别怕，不就是把苹果放在你头上么？我又不会射偏！
71,好好看着，可别到时不知道自己是怎么死的。
72,发生故障……系统供电正在减弱……（渐弱地）
73,对你而言，死亡并不是终结。因为你将永远成为我的一部分！
74,大部分人都会打飞机！这对飞机来说很不公平！
75,那只能表明，你除了是个软蛋之外啥也不是！
76,尘归尘……土归土……
77,我来自黑暗……
78,是时候表演真正的技术了！
79,在别的游戏里，像我这么帅的一般都是主角吖！
80,我想，我该让你痛苦一会儿！
81,看看马桶里网到了什么？
82,"只不过是只舱鼠！我要收你做""好朋友""！"
83,我非要把你吊死在桅杆上不可！
84,全速前进中！
85,想知道为啥我的海盗旗这么高兴么？
86,别跑，我的心肝！
87,吓老子一跳！
88,哟呵呵！加上一瓶……朗姆酒
89,啊霍依!（啊霍依！打招呼的意思）
90,有种轰趴我！
91,你埋单，我就来！
92,打烊前的最后一杯！
93,来一杯吧！
94,呀啊啊啊！
95,尝尝这个！
96,欢乐时光-就要开始了！
97,斗殴时间到了！
98,是时候碾平酒桶了！
99,"""我喝酒时唯一遇到过的问题，就是不小心把酒给弄洒了。哈哈！"""
100,我会让你喝翻到桌子底下去，烂人。
101,准备登船！
103,刷船尾啦！
104,快点过来!来吧，美人！
105,看看马桶里网到了什么？
106,只不过是只舱鼠！
107,"我要收你做""好朋友""！"
108,我非要把你吊死在桅杆上不可！
109,全速前进中！
110,想知道为啥我的海盗旗这么高兴么？
111,别跑，我的心肝！
112,吓老子一跳！
113,哟呵呵！加上一瓶……朗姆酒
114,啊霍依!（啊霍依！打招呼的意思）
115,有种轰趴我！
116,我还没脚软呢，泥腿子！
117,去深海玩得开心点吧，旱鸭子！
118,确实是个明智的选择！
119,我找到了！
120,为了伟大的科学！
121,经过我的推导……结果只有一个，那就是：你会输！
122,回来，你这只肮脏的猿猴，快回来！
123,力等于质量乘以速度。
124,你生来就不是干这个的料。
125,如果将原始弗罗布雷特附在特大号瓦姆理内汀圈上，你会得到……
126,只要将溶液A倒入溶液B，就会……BOOM……该死，又出事故了。
127,你能飞的时候干嘛还要走路呢？
128,你路线的余弦，再除以……
129,恩恩……非常有趣……
130,我可以帮你把它做得更好
131,顺序。熵值。无限循环的数列。
132,我和你意见相同！
133,是的是的，赶快！我回头还有更重要的事情要做。
134,你们的智商如此之低，还有什么好指望的？
135,没想到吧？我又回来了！
136,把他们也算上！
137,严阵以待！
138,不！这不可能！
139,你们知道最强的武器是什么？没错，就是补丁！
140,没想到吧？我又回来了！
141,严阵以待！
142,哼，一个能打的都没有！
143,你在……打冷颤么？
144,享用我的诅咒吧！
145,他们的痛苦，就是我的快乐！
146,遵命……
147,正在往那飘呢……
148,如您所愿……
149,赞美死亡吧！
150,你的头太畸形了，我都无法使用你的头骨！
151,我会把你夹在我的书里的！
152,你的魔法对我无效
153,正义将会得到伸张
154,平衡重于一切
155,你微不足道，一无用处
156,如你所愿
157,必须维持力量的均衡！
158,遁入虚空！
159,有一次，我试着沉默我妈。天啊，再也没有比这更糟糕的事儿了！
160,再试一次
161,暴力可以解决一切。
162,我很乐意。
163,开始大杀特杀吧！
164,野蛮行径，我的最爱……
165,诺克萨斯万岁！
166,不要心存怜悯！
167,我闻到的是恐惧么？
168,匕首是一个女孩最好的朋友。【不是棍子吗？】
169,准备好应付麻烦了么？
170,到目前为止，你的选择都让我十分满意。
171,非常迷人……
172,不要测试你的运气，训练师！
173,眼睛从来不会说谎。
174,嗨……呀！
175,悄无声息的死亡！
176,该出击了！
177,他们的最后时刻要来临了！
178,艾欧尼亚万岁！
179,要利用好暗影。
180,我正在瞄准他们的膝盖骨！【直到我的膝盖中了一箭？？】
181,哦天啊，他们把手里剑做得这么小！
182,我是风~咻……咻……
183,均衡存乎万物之间。
184,稳住……
185,他们绝对不会发觉我的到来；好吧，假如他们不往下面看的话……
186,大型目标什么的最好了-因为瞄准起来超容易的耶！
187,用嚼的，别用吞的，要有绅士风度。
188,从前有个怪物，他一直在吃东西，却怎么也吃不饱。所以到最后，他把他自己也吃掉了！
189,每一餐都是开心的一餐。
190,我们走吧！
191,别休息！
192,我越来越饿了……
193,想吃肉！
194,湮灭来袭！
195,我的胃空空如也！
196,该喂食了！
197,再来吖，我还没吃饱呢！
198,恐怖就要来了……老爸就要来了！
199,下一个在哪儿呢？
200,只不过是镜花水月而已。
201,我会骗你么？
202,"如果""黑玫瑰""叫别的名字，闻起来还会这么香么？"
203,该现身了。
204,谁都别想逃。
205,看仔细了！
206,可真难得吖！
207,正合我意。
208,看到我很意外么？
209,"你正处在""危险地带""，难道你不知道么？"
210,谢天谢地，我还以为会汗流浃背呢！
211,接下来我要表演的是：将他们的血条弄消失~
212,我好像95%的时候都在说谎。
213,"""黑玫瑰""将会再次绽放！"
214,我们的战术更加优秀！
215,我从来没想过失败！
216,嘘……我在为我的激光充能……【好吧您是未来世界的人。现在我们都还是冲电或者电池？】
217,你们这种战斗力……我建议你们还是投降算了。
218,我要替德玛西亚行道，消灭你们！
219,双重彩虹？那是什么意思？
220,好的……双重彩虹，指的是阳光在透过大气层的湿气时因为折射和反射而出现两道不同彩虹的现象……各位听懂了么？
221,真是个深思熟虑的选择，召唤师。
222,喂喂喂，我的光线不是激光炮不是粒子炮不是阳电子炮，你们懂了没有
223,我也是从石头里蹦出来的，为什么我不是猴子呢？
224,如果你有癫痫病，请不要直接观察虚空，否则有可能导致妊娠反应。
225,哦？你指的是这把我从来不用的小刀么？我是找达斯坦借的，他还老大不愿意呢。
226,艾卡西亚在召唤！
227,我预见了末日浩劫，紧随其后的是降落伞裤的伟大复兴……
228,就和曾今预见的一样。
229,用最合适的手法。
230,冥冥之中自有天意。
231,下次归来我应该能变得更强！
232,眼睛多，看东西才会更加清楚。
233,我来为你带路。
234,明智的决定。
235,你们的技术太烂了！
236,你有一双摄人心魄的眼睛。我非常喜欢。
237,别太自满。
238,这样做的感觉真好吖。
239,请看好我的左舷，宝贝儿。
240,有乐子了！
241,除了火药猴以外，什么也没有。
242,我总是先射。
243,没有猎物，就没有报酬！
244,枪口喷着火焰！
245,棒！
246,嘣！射腿！恩……听起来不太对劲
247,管好你的嘴，小鬼，否则你会发现自己正躺在基地等重生。
248,"这是我的两把枪，一把叫""射！""，另一把叫""啊！""。怎么样，喜欢么？"
249,好运不会眷顾傻瓜。
250,这些活着的东西都被过分地高估了!
251,现在我可以复仇了！
252,我爱我的武器，因为它和我所爱的音乐一样，都是重金属。
253,福无双至，祸不单行。
254,如果我必须的话。
255,为了巨大的折磨！
256,我们到时就知道了……
257,目的就快达到了……
258,但愿如此……（嘲讽地语气：）召唤师
259,只需要点一下就够了，蠢货。
260,对于和你差不多的人来说，死亡真是太美好了。
261,感受我的痛苦吧！
262,我必须去报仇了！
263,有人说他们上辈子都是折翼的天使……但我上辈子是什么呢？
264,你们也会被审判的！
265,我们会有文明地捕食的。
266,我要让这些家猫们见识下什么才是真正的爪子。
267,野生生物从来不知道什么是害怕。
268,我有提到过现在是繁殖季节么？【难道是路边的油菜花盛开的季节？】
269,我将指引您通往胜利。
270,让我为您指路。
271,正在觅食。
272,你把这个称作有教养？
273,别把雪人给惹恼了！否则你遭不住的。
274,抓不着我！
275,好……好冷……（哆嗦着）
276,我有一只小雪人我一直都在骑……
277,一个男人的价值，可以从他胡子的长度，以及……皮带的长度上看出来
278,洛克法的力量接近了！
279,我更愿意走水路。
280,掠夺吧！
281,行动吧！
282,我正要去！
283,杀戮的欲望正在高涨！
284,我要发狂了！
285,来吧，我不会伤害你的，我保证……
286,我的职业？你知道的，现在想来，我是一直想当个面包师的。
287,是的……面包师。
288,他们说要穿职业休闲装，但这身装扮就是我们那里的职业休闲装。
289,不要挑衅我！
290,荣誉驱使着我。
291,他们将会知道什么是战争！
292,我知道我要走的路。
293,这里是斯巴达！
294,你最不需要担心的，就是被踢到井里去！
295,战斗是非常严肃的事情。
296,我会解决这个问题的！
297,他们的失败是不容置疑的！
298,让我来示范一下，什么叫做铁锤外交！
299,他们会乞求和平的！
300,如果必要的话。
301,如果语言劝说没有用的话，我的铁锤就会继续劝说！
302,笑话？我真的不会讲笑话……
303,如果它能带来和平。
304,瓦罗然将会知道什么是和谐
305,我的信仰从来不会动摇！
306,要赶快！
307,同意
308,慢点儿！我得迈两步才能追得上你的一步！
309,你们干嘛不直接缴械投降呢？
310,来次背部按摩怎么样？
311,我最讨厌的生物，就是一只蓝色的刺猬！因为我跑不过他！
312,这些纹身是在我不小心把自己关起来的时候弄的。
313,彼此彼此！
314,帮我背下卷轴，说不定我就放过你们了。
315,来次魔术戏法，咋样？
316,瞧瞧你的背后~
317,这很好玩吖！
318,恶作剧的对象，是你哟！
319,我们上吧！
320,走吖走吖走吖走！
321,神出鬼没，指的就是我~
322,再靠近一点儿。
323,听我说，训练师。我并没有兄弟，也不认识超梦！我的瞬移以及分身靠的都是魔法！
324,何必这么认真呢？
325,如果光有那么快，为什么照不到忍者呢？
326,步伐要平衡。
327,沉默，但致命。
328,我们意念合一。
329,再加把劲。
330,利用好阴影。
331,那我出发了。
332,要步步为营。
333,别发出声音。
334,没得商量。
335,要赶快。
336,你已经死了……只是你还没发觉而已。
337,姐妹们，我先走一步……
338,他们就是见不得女人当战神！……咋样，有明星范儿么？（淘气）
339,为荣誉而战！
340,狩猎开始！
341,好好享受你的最后一次呼吸吧！
342,中场休息时间！中场休息时间！
343,像节拍器一样准确无误。
344,加速运动，我赞成。
345,"""如果你想要，就拿去吧……但别要求我终止任何形式的动作……"""
346,这首曲子是最急板！
347,请通过音乐来下命令
348,充满活力，朝气蓬勃！
349,我们能解决这个不和谐的音调么？
350,号角已经响起！
351,正义的交响乐！
352,我所知道的女高音从来不会对任何人造成打击。
353,我就是在你葬礼上演奏哀乐的乐队指挥。
354,"""它们将会是""巴洛克（重读）恩（轻读）""风格！（笑）"
355,也许我哑了反倒会显得更淑女一点。
356,只有你可以听到我的话，召唤师。今天我们演奏哪首曲子？
357,别拿这种眼神看我，我可不是什么尼莱德女牧师。【又是WOW。。。】
358,要淡定。
359,我的力量来自星辰
360,我引领着星光的降临。
361,你们打架的时候总是这么不给力么？
362,我只用一条腿就可以轻而易举地摧毁你。【哥们，哪条腿？】
363,敌人越多，失望也就越多。
364,如果我们战略性地从侧翼插上-噢我在忽悠谁呢？我们赶紧变身，然后吃掉他们吧！
365,早起的鸟儿有虫吃。
366,我敢打赌，你的味道和鸡肉差不多。
367,要一只巨大的恶魔鸟给你讲笑话？你没犯2吧？
368,再问一遍，你真的没犯二么？放弃吧！
369,从理论上设想一下，一个人哇！哇！哇！哇！哇！
